,incident_zip,complaints
0,11221.0,1318
1,11238.0,1279
2,10025.0,1268
3,11216.0,1211
4,11233.0,1005
5,11207.0,983
6,11226.0,975
7,10467.0,932
8,11215.0,910
9,10456.0,822
10,10458.0,785
11,11206.0,767
12,11237.0,764
13,10453.0,751
14,11385.0,743
15,10457.0,732
16,11213.0,705
17,10031.0,699
18,11225.0,691
19,11211.0,679
20,11205.0,674
21,11208.0,651
22,10027.0,649
23,11212.0,649
24,10026.0,609
25,10024.0,607
26,11217.0,589
27,10468.0,578
28,10029.0,576
29,10452.0,576
30,10314.0,568
31,11203.0,558
32,10472.0,555
33,10451.0,546
34,10462.0,543
35,10460.0,541
36,11235.0,538
37,11222.0,511
38,11377.0,501
39,10009.0,500
40,10002.0,497
41,10469.0,491
42,10011.0,491
43,10032.0,490
44,10463.0,488
45,10030.0,455
46,10459.0,452
47,10466.0,415
48,10023.0,413
49,10455.0,403
50,10034.0,402
51,10033.0,396
52,11230.0,394
53,11433.0,393
54,11220.0,392
55,11236.0,385
56,11368.0,377
57,10003.0,366
58,11234.0,355
59,10306.0,354
60,10301.0,349
61,10035.0,347
62,11218.0,337
63,10028.0,335
64,11372.0,334
65,11419.0,322
66,11101.0,315
67,11435.0,314
68,10473.0,314
69,10014.0,314
70,11210.0,312
71,10461.0,309
72,11249.0,309
73,11209.0,306
74,11373.0,303
75,10128.0,301
76,11219.0,301
77,10454.0,294
78,11412.0,293
79,11201.0,292
80,10310.0,292
81,11214.0,292
82,11420.0,288
83,11223.0,286
84,11434.0,283
85,10037.0,282
86,10304.0,281
87,10312.0,277
88,10016.0,276
89,11432.0,266
90,10040.0,266
91,10305.0,265
92,10001.0,262
93,11231.0,253
94,11229.0,246
95,10021.0,230
96,10303.0,229
97,10013.0,227
98,11379.0,227
99,11417.0,221
100,11691.0,220
101,11204.0,218
102,11418.0,214
103,10302.0,213
104,10012.0,210
105,11103.0,204
106,10474.0,203
107,11375.0,202
108,10019.0,192
109,11357.0,191
110,11378.0,186
111,10470.0,185
112,11374.0,184
113,10465.0,183
114,10075.0,181
115,10065.0,179
116,11232.0,178
117,11354.0,177
118,11413.0,168
119,11224.0,167
120,11355.0,166
121,11106.0,166
122,11429.0,165
123,11436.0,164
124,10039.0,164
125,10036.0,154
126,10022.0,153
127,10010.0,147
128,11369.0,139
129,11370.0,139
130,11102.0,138
131,11228.0,137
132,11358.0,134
133,11416.0,132
134,11104.0,130
135,11421.0,128
136,10309.0,127
137,10308.0,127
138,11105.0,122
139,10038.0,122
140,11367.0,119
141,11414.0,116
142,11365.0,115
143,11422.0,113
144,11361.0,110
145,11423.0,102
146,10471.0,88
147,11415.0,82
148,11694.0,80
149,10007.0,77
150,11426.0,77
151,11411.0,77
152,10018.0,75
153,11692.0,74
154,11693.0,69
155,11356.0,68
156,11427.0,65
157,11428.0,57
158,10307.0,57
159,10017.0,50
160,11364.0,49
161,11366.0,42
162,11004.0,37
163,10475.0,34
164,10005.0,33
165,10464.0,31
166,11360.0,29
167,10006.0,25
168,10004.0,24
169,11001.0,24
170,11362.0,20
171,11239.0,15
172,10280.0,11
173,11363.0,10
174,83.0,9
175,10069.0,8
176,11697.0,6
177,10282.0,6
178,11040.0,5
179,10153.0,5
180,11430.0,4
181,11109.0,4
182,10162.0,3
183,11371.0,2
184,10000.0,2
185,10020.0,2
186,10112.0,2
187,10044.0,2
188,10048.0,1
189,10041.0,1
190,10119.0,1
191,10111.0,1
192,10118.0,1
193,10151.0,1
194,10158.0,1
195,0.0,1
