,incident_zip,complaints
0,11221,1318
1,11238,1279
2,10025,1268
3,11216,1211
4,11233,1005
5,11207,983
6,11226,975
7,10467,932
8,11215,910
9,10456,822
10,10458,785
11,11206,767
12,11237,764
13,10453,751
14,11385,743
15,10457,732
16,11213,705
17,10031,699
18,11225,691
19,11211,679
20,11205,674
21,11208,651
22,10027,649
23,11212,649
24,10026,609
25,10024,607
26,11217,589
27,10468,578
28,10029,576
29,10452,576
30,10314,568
31,11203,558
32,10472,555
33,10451,546
34,10462,543
35,10460,541
36,11235,538
37,11222,511
38,11377,501
39,10009,500
40,10002,497
41,10011,491
42,10469,491
43,10032,490
44,10463,488
45,10030,455
46,10459,452
47,10466,415
48,10023,413
49,10455,403
50,10034,402
51,10033,396
52,11230,394
53,11433,393
54,11220,392
55,11236,385
56,11368,377
57,10003,366
58,11234,355
59,10306,354
60,10301,349
61,10035,347
62,11218,337
63,10028,335
64,11372,334
65,11419,322
66,11101,315
67,11435,314
68,10014,314
69,10473,314
70,11210,312
71,11249,309
72,10461,309
73,11209,306
74,11373,303
75,11219,301
76,10128,301
77,10454,294
78,11412,293
79,11214,292
80,11201,292
81,10310,292
82,11420,288
83,11223,286
84,11434,283
85,10037,282
86,10304,281
87,10312,277
88,10016,276
89,11432,266
90,10040,266
91,10305,265
92,10001,262
93,11231,253
94,11229,246
95,10021,230
96,10303,229
97,10013,227
98,11379,227
99,11417,221
100,11691,220
101,11204,218
102,11418,214
103,10302,213
104,10012,210
105,11103,204
106,10474,203
107,11375,202
108,10019,192
109,11357,191
110,11378,186
111,10470,185
112,11374,184
113,10465,183
114,10075,181
115,10065,179
116,11232,178
117,11354,177
118,11413,168
119,11224,167
120,11355,166
121,11106,166
122,11429,165
123,10039,164
124,11436,164
125,10036,154
126,10022,153
127,10010,147
128,11369,139
129,11370,139
130,11102,138
131,11228,137
132,11358,134
133,11416,132
134,11104,130
135,11421,128
136,10308,127
137,10309,127
138,10038,122
139,11105,122
140,11367,119
141,11414,116
142,11365,115
143,11422,113
144,11361,110
145,11423,102
146,10471,88
147,11415,82
148,11694,80
149,11411,77
150,10007,77
151,11426,77
152,10018,75
153,11692,74
154,11693,69
155,11356,68
156,11427,65
157,10307,57
158,11428,57
159,10017,50
160,11364,49
161,11366,42
162,11004,37
163,10475,34
164,10005,33
165,10464,31
166,11360,29
167,10006,25
168,11001,24
169,10004,24
170,11362,20
171,11239,15
172,10280,11
173,11363,10
174,00083,9
175,10069,8
176,10282,6
177,11697,6
178,11040,5
179,10153,5
180,11430,4
181,11109,4
182,10162,3
183,10044,2
184,10020,2
185,10000,2
186,11371,2
187,10112,2
188,000000,1
189,10158,1
190,10151,1
191,10119,1
192,10118,1
193,10111,1
194,10048,1
195,10041,1
196,N/A,1
