,Weather,datetime
0,rain,2019-05-16
1,rain,2018-05-11
2,snow,2019-03-04
3,snow,2018-03-13
4,rain,2017-10-06
5,none,2017-06-26
6,rain,2018-05-16
7,snow,2017-12-14
8,none,2017-07-27
9,none,2018-10-30
10,rain,2017-07-20
11,rain,2018-10-06
12,none,2017-08-19
13,none,2019-05-03
14,rain,2018-05-10
15,rain,2017-06-03
16,rain,2019-05-31
17,none,2017-06-22
18,none,2019-05-22
19,rain,2018-05-31
20,rain,2017-06-14
21,rain,2018-09-28
22,none,2017-09-20
23,rain,2019-04-06
24,snow,2018-03-07
25,rain,2018-11-27
26,none,2017-11-27
27,rain,2019-05-29
28,none,2019-03-20
29,none,2018-03-20
30,none,2019-03-19
31,none,2018-07-12
32,rain,2018-03-28
33,none,2018-06-05
34,none,2018-01-24
35,rain,2017-12-01
36,none,2018-07-18
37,none,2017-07-10
38,rain,2019-05-13
39,none,2018-12-18
40,none,2018-11-07
41,none,2018-07-10
42,none,2018-07-02
43,rain,2017-06-05
44,none,2019-01-02
45,none,2018-07-09
46,rain,2018-06-04
47,none,2017-06-28
48,rain,2019-02-07
49,rain,2018-06-21
50,rain,2018-05-03
51,rain,2019-05-02
52,none,2019-01-04
53,none,2018-10-24
54,none,2018-10-17
55,none,2018-05-25
56,none,2018-04-13
57,rain,2018-04-28
58,none,2018-12-10
59,rain,2018-05-17
60,rain,2018-04-10
61,none,2018-02-12
62,snow,2018-01-04
63,rain,2017-12-12
64,rain,2019-05-10
65,none,2017-10-10
66,none,2017-07-28
67,rain,2018-08-03
68,rain,2017-08-07
69,none,2019-01-03
70,none,2018-01-03
71,none,2018-08-08
72,rain,2018-04-26
73,rain,2018-03-09
74,rain,2017-08-15
75,none,2017-06-12
76,none,2018-11-14
77,rain,2018-02-21
78,none,2019-01-23
79,rain,2018-08-22
80,none,2018-07-16
81,none,2017-07-25
82,none,2018-09-04
83,none,2018-02-06
84,none,2019-01-31
85,rain,2018-02-01
86,rain,2018-08-02
87,none,2017-08-17
88,none,2019-02-04
89,none,2018-02-09
90,none,2019-05-18
91,none,2018-12-27
92,rain,2018-08-17
93,rain,2018-05-23
94,none,2017-11-29
95,none,2018-11-28
96,none,2017-12-13
97,rain,2018-06-13
98,rain,2018-02-15
99,none,2018-05-02
100,snow,2019-02-20
101,rain,2018-09-17
102,none,2018-08-28
103,rain,2018-03-30
104,none,2018-02-08
