,ZIPCODE,inspections,violation_count
0,10003.0,2203,777
1,10019.0,2143,355
2,10036.0,1819,376
3,10013.0,1692,422
4,10002.0,1667,470
5,10001.0,1551,273
6,11354.0,1488,295
7,10022.0,1447,339
8,10011.0,1431,410
9,10016.0,1426,436
10,10012.0,1346,330
11,11220.0,1337,413
12,11201.0,1326,218
13,11372.0,1210,284
14,10014.0,1164,400
15,10018.0,1143,193
16,10017.0,1128,283
17,11211.0,1069,229
18,11215.0,1046,350
19,11101.0,980,206
20,10009.0,890,308
21,11385.0,887,308
22,11368.0,882,291
23,11209.0,861,265
24,11373.0,816,230
25,11355.0,809,237
26,11103.0,803,261
27,11217.0,801,242
28,11237.0,750,203
29,10010.0,751,188
30,11238.0,726,199
31,11226.0,720,222
32,10025.0,711,176
33,10029.0,703,173
34,11432.0,664,217
35,11375.0,663,135
36,11377.0,663,190
37,11214.0,658,201
38,10458.0,648,219
39,10038.0,645,106
40,11222.0,638,191
41,10028.0,629,235
42,10024.0,587,219
43,10023.0,569,141
44,11235.0,564,158
45,11216.0,555,172
46,11223.0,548,180
47,10065.0,541,180
48,10314.0,540,113
49,10027.0,534,144
50,11106.0,532,141
51,11218.0,529,183
52,11249.0,523,113
53,10467.0,513,189
54,11206.0,503,87
55,11205.0,493,137
56,11204.0,490,194
57,10451.0,490,116
58,10128.0,486,160
59,10021.0,486,143
60,10461.0,483,131
61,11231.0,481,150
62,11358.0,475,101
63,11207.0,467,155
64,11105.0,459,149
65,11203.0,451,172
66,11234.0,449,141
67,10004.0,441,73
68,10007.0,440,39
69,11232.0,440,128
70,11225.0,422,111
71,10462.0,420,105
72,11208.0,413,151
73,11229.0,413,123
74,11221.0,408,125
75,10031.0,402,109
76,10463.0,391,116
77,11361.0,386,59
78,10033.0,383,90
79,11219.0,382,128
80,11213.0,379,159
81,11104.0,378,110
82,11435.0,377,126
83,11236.0,369,123
84,10032.0,364,123
85,10468.0,361,119
86,11212.0,361,137
87,11230.0,351,114
88,10301.0,349,102
89,10452.0,349,124
90,11419.0,344,133
91,10472.0,338,101
92,10306.0,337,60
93,11430.0,335,14
94,10453.0,332,124
95,11418.0,331,122
96,10455.0,331,94
97,10466.0,306,138
98,10034.0,303,76
99,11369.0,294,44
100,11102.0,292,68
101,10457.0,291,86
102,11374.0,291,56
103,11210.0,282,95
104,10035.0,279,58
105,11434.0,274,84
106,10305.0,273,84
107,11420.0,267,91
108,10026.0,266,67
109,11378.0,262,65
110,10312.0,259,37
111,10459.0,256,65
112,10454.0,256,98
113,11417.0,255,99
114,10469.0,253,101
115,10075.0,252,78
116,10040.0,250,68
117,11421.0,248,104
118,10456.0,245,64
119,10465.0,241,61
120,11233.0,236,89
121,11224.0,234,42
122,10460.0,231,52
123,11357.0,226,32
124,10302.0,222,85
125,10310.0,221,71
126,10309.0,220,11
127,10121.0,217,31
128,11364.0,209,44
129,10005.0,207,13
130,10475.0,184,27
131,11228.0,181,54
132,11365.0,173,32
133,11414.0,172,35
134,11366.0,171,31
135,11356.0,170,23
136,11362.0,165,28
137,11413.0,165,55
138,11367.0,161,27
139,10471.0,160,43
140,10304.0,151,48
141,11428.0,147,60
142,11379.0,143,44
143,10470.0,138,49
144,11412.0,138,56
145,11691.0,137,49
146,10006.0,137,21
147,10308.0,135,16
148,11416.0,125,44
149,11693.0,117,27
150,10464.0,115,34
151,11415.0,111,25
152,11422.0,111,30
153,11694.0,105,25
154,11433.0,105,32
155,10280.0,102,11
156,10039.0,100,17
157,11423.0,97,25
158,10474.0,94,19
159,10037.0,90,16
160,11426.0,90,27
161,11004.0,88,12
162,10303.0,87,12
163,10030.0,85,18
164,10473.0,85,12
165,10020.0,84,7
166,11436.0,82,17
167,11411.0,81,27
168,11429.0,79,24
169,10307.0,74,2
170,10119.0,70,7
171,11370.0,70,17
172,11427.0,66,30
173,10169.0,65,11
174,10282.0,54,3
175,11239.0,54,7
176,11040.0,49,14
177,11363.0,44,5
178,10281.0,44,6
179,11360.0,43,5
180,10112.0,40,3
181,11692.0,30,4
182,10111.0,29,8
183,10118.0,23,1
184,10044.0,22,1
185,11109.0,19,2
186,10105.0,10,2
187,11005.0,10,6
188,11001.0,8,6
189,10279.0,7,2
190,10069.0,5,2
191,10106.0,4,1
